Name,Latitude,Longitude
"las campanas",21.7308333,-78.2936111
"bagaembo",4.766667,20.15
"tachichiao",22.5833333,120.3833333
"soboulde",13.1666667,-15.1
"sargul",52.2,55.516667
"kubotsu",32.783333,132.983333
"sanyasir char",25.2833333,89.7
"igaua",-8.8833333,36.1166667
"stare rovensko",50.05,15.966667
"inyelli",7.074,7.87
